Number,Parameter,Units
0,Main thermocline depth,m
1,Main thermocline anomaly,m
2,Transient thermocline depth,m
3,Salinity,kg kg–1
4,Ocean vertical heat diffusivity,m2 s–1
5,Ocean vertical salt diffusivity,m2 s–1
6,Ocean vertical momentum diffusivity,m2 s–1
7,Bathymetry,m
8–10,Reserved,
11,Shape factor with respect to salinity profile,–
12,Shape factor with respect to temperature profile in thermocline,–
13,Attenuation coefficient of water with respect to solar radiation,m–1
14,Water depth,m
15,Water temperature,K
16–191,Reserved,
192–254,Reserved for local use,
255,Missing,
